1,57.8,65.3,70.6,63.7,-1.0,64.4
2,73.4,78.2,63.8,83.8,-1.0,74.8
3,70.69999999999999,45.9,60.8,54.5,-1.0,58.0
4,66.5,54.4,72.5,42.7,-1.0,59.0
5,74.0,84.6,52.4,51.7,-1.0,65.7
6,72.3,57.6,60.4,81.69999999999999,-1.0,68.0
7,44.1,64.9,67.5,66.3,-1.0,60.7
8,57.0,47.6,50.2,54.8,-1.0,52.4
9,62.8,85.3,44.3,90.1,-1.0,70.6
10,63.9,74.5,45.7,71.39999999999999,-1.0,63.9
11,30.4,60.5,70.8,76.5,-1.0,59.6
12,77.39999999999999,78.5,65.6,29.700000000000003,-1.0,62.8
13,74.7,69.6,65.9,52.2,-1.0,65.6
14,43.2,58.2,54.0,65.3,-1.0,55.2
15,64.4,87.8,43.5,85.1,-1.0,70.2
16,28.8,79.39999999999999,88.19999999999999,85.6,-1.0,70.5
17,79.39999999999999,69.5,58.6,66.39999999999999,-1.0,68.5
18,73.4,44.5,52.6,68.5,-1.0,59.8
19,83.39999999999999,70.0,43.9,57.9,-1.0,63.8
20,25.700000000000003,71.9,53.3,54.9,-1.0,51.4
21,70.2,63.5,55.4,71.1,-1.0,65.0
22,50.6,70.6,59.5,61.8,-1.0,60.6
23,32.6,66.7,68.3,68.3,-1.0,59.0
24,79.7,83.39999999999999,56.2,46.1,-1.0,66.4
25,47.0,86.39999999999999,48.9,58.8,-1.0,60.3
26,62.5,54.2,63.6,84.6,-1.0,66.2
27,27.8,50.1,57.4,72.2,-1.0,51.9
28,44.5,64.1,51.3,67.5,-1.0,56.8
29,57.6,47.5,74.5,77.69999999999999,-1.0,64.3
30,69.1,84.89999999999999,56.0,69.2,-1.0,69.8
31,53.4,72.6,65.0,73.3,-1.0,66.1
32,47.1,76.0,84.1,26.200000000000003,-1.0,58.4
33,30.3,79.2,55.2,59.4,-1.0,56.0
34,37.6,59.7,70.8,80.1,-1.0,62.0
35,88.7,41.6,58.9,65.6,-1.0,63.7
36,67.8,73.4,59.7,53.5,-1.0,63.6
37,55.6,44.4,50.0,65.39999999999999,-1.0,53.8
38,82.89999999999999,80.5,81.5,57.4,-1.0,75.6
39,59.9,80.69999999999999,87.8,73.5,-1.0,75.5
40,46.5,63.7,60.8,73.6,-1.0,61.2
41,80.2,63.5,85.3,81.89999999999999,-1.0,77.7
42,83.2,44.3,70.8,40.1,-1.0,59.6
43,58.1,82.9,48.8,46.1,-1.0,59.0
44,77.1,56.8,49.6,55.3,-1.0,59.7
45,80.6,49.4,83.5,82.0,-1.0,73.9
46,62.0,55.8,51.2,89.6,-1.0,64.6
47,50.6,45.9,65.6,87.3,-1.0,62.4
48,82.89999999999999,44.2,60.1,32.8,-1.0,55.0
49,46.0,66.19999999999999,66.0,30.6,-1.0,52.2
50,66.1,51.4,42.6,63.5,-1.0,55.9
51,62.9,87.69999999999999,60.9,50.6,-1.0,65.5
52,75.6,63.4,73.89999999999999,56.5,-1.0,67.4
53,74.6,42.1,69.6,62.6,-1.0,62.2
54,39.4,60.7,32.3,61.6,0.0,48.5
55,68.5,78.5,72.2,57.5,-1.0,69.2
56,57.9,42.2,60.1,67.89999999999999,-1.0,57.0
57,82.3,64.1,50.8,69.2,-1.0,66.6
58,60.7,73.9,57.5,61.0,-1.0,63.3
59,59.4,64.6,61.7,70.1,-1.0,64.0
60,39.8,60.0,62.5,86.4,-1.0,62.2
61,76.5,59.1,85.5,66.8,-1.0,72.0
62,74.89999999999999,78.1,86.8,65.39999999999999,-1.0,76.3
63,83.3,50.1,78.5,69.0,-1.0,70.2
64,68.69999999999999,55.7,83.69999999999999,72.9,-1.0,70.2
65,68.6,62.1,74.4,49.6,-1.0,63.7
66,66.0,63.3,45.0,63.4,-1.0,59.4
67,71.5,81.6,63.9,68.39999999999999,-1.0,71.4
68,72.0,77.2,73.6,80.39999999999999,-1.0,75.8
69,60.9,81.7,76.5,78.0,-1.0,74.3
70,57.2,67.4,60.3,45.1,-1.0,57.5
71,64.4,69.3,53.4,65.1,-1.0,63.0
72,87.8,44.8,73.8,90.2,-1.0,74.1
